from,to,msg_size,average,median,min,max
0,1,8388608,1.336714,1.336714,1.336676,1.336752
0,2,8388608,1.006956,1.006956,1.006920,1.006992
0,3,8388608,1.398064,1.398064,1.397796,1.398332
1,2,8388608,1.388552,1.388552,1.388000,1.389104
1,3,8388608,0.996246,0.996246,0.996164,0.996328
2,3,8388608,1.055888,1.055888,1.055860,1.055916
